,Event,Person
0,Как провести интервью с пользователями. Практика-интенсив,наталья чебыкина
0,Вебинар «Моделирование сетевых атак на корпоративную инфраструктуру с использованием платформы EVE-NG» от HackerU и Диона Мастер Лаб,диона мастер
0,NX Analyst Meetup #1,андрей коваль
0,NX Analyst Meetup #1,егор вершинин
0,NX Analyst Meetup #1,владислав котов
0,"Открытый вебинар ""Как начать получать пользу от облака без лишних сложностей""",михаил шумилин
0,"Открытый вебинар ""Как начать получать пользу от облака без лишних сложностей""",романа рахамим
0,"Открытый вебинар ""Как начать получать пользу от облака без лишних сложностей""",алексей котельницкий
0,ок.tech: Data Толк #4 новогодний выпуск,дмитрий бугайченко
0,ок.tech: Data Толк #4 новогодний выпуск,андрей якушев
0,"Вебинар Вячеслава Ермакова ""Опыт использования SAP Leonardo""",вячеслав ермаков
0,"Бизнес-завтрак ""Как увеличить поток покупателей за 2 недели""",светлана свиточева
0,"Как заработать на больших данных, если ты гуманитарий? Презентация обновлённой магистратуры НИУ ВШЭ ""Коммуникации, основанные на данных-2020"" ",нестер роман
0,"Как заработать на больших данных, если ты гуманитарий? Презентация обновлённой магистратуры НИУ ВШЭ ""Коммуникации, основанные на данных-2020"" ",михаил степнов
0,"Как заработать на больших данных, если ты гуманитарий? Презентация обновлённой магистратуры НИУ ВШЭ ""Коммуникации, основанные на данных-2020"" ",елена грызунова
0,MinskCSS Meetup #7,захар авсиевич
0,MinskCSS Meetup #7,дмитрий осипов
0,Встреча SpbDotNet №55,евгений пешков
0,Встреча SpbDotNet №55,андрей дятлов
0,Небанковские продукты и сервисы: версия #ВТБ,андрей макаров
0,Небанковские продукты и сервисы: версия #ВТБ,екатерина фроловичева
0,Небанковские продукты и сервисы: версия #ВТБ,наталия дегтярева
0,Небанковские продукты и сервисы: версия #ВТБ,андрей алексахин
0,Небанковские продукты и сервисы: версия #ВТБ,сергей роменский
0,PyData Moscow #10,юлий тувалев
0,PyData Moscow #10,евгений семенов
0,PyData Moscow #10,александр паринов
0,"React Moscow Meetup 5: HOC, Hooks, Java & React, Huge Apps, MobX vs Redux",дмитрий григоров
0,"React Moscow Meetup 5: HOC, Hooks, Java & React, Huge Apps, MobX vs Redux",олег коровин
0,"React Moscow Meetup 5: HOC, Hooks, Java & React, Huge Apps, MobX vs Redux",денис измайлов
0,"React Moscow Meetup 5: HOC, Hooks, Java & React, Huge Apps, MobX vs Redux",назим гафаров
0,SEMrush IT meetup #2,антон белов
0,SEMrush IT meetup #2,алексей балканский
0,SEMrush IT meetup #2,денис голубцов
0,«Ситимит ИТ. Митап для разработчиков высоконагруженных систем»,адам нойман
0,«Ситимит ИТ. Митап для разработчиков высоконагруженных систем»,денис аникин
0,«Ситимит ИТ. Митап для разработчиков высоконагруженных систем»,иван ремень
0,«Ситимит ИТ. Митап для разработчиков высоконагруженных систем»,игорь мосягин
0,«Ситимит ИТ. Митап для разработчиков высоконагруженных систем»,ольга зангиева
0,Семинар: «Как сделать ИТ-инфраструктуру вашего предприятия современной и управляемой?»,алексей июдин
0,Курс «Основы оптимизации веб-сайтов» от айтишников Good Line 2,евгений попов
0,SAFe® DevOps: лучшие практики и диагностика создания ценности,герман алексеев
