"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Cuba","CUB","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72000","72000","83000","94000","97000","139000","121000","111000","113000","124000","162000","199000","194000","202000","206000","251000","253000","213000","286000","355000","580000","894000","","",
"Curacao","CUW","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360000","365000","422000","484000","540000","588000","684000","744000","737000","859000","914000","932000","1081000","1210000","1172000","1246000","1209000","1194000","1115000","1209000","1119000","1268000","1407000","",
"Czech Republic","CZE","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7213000","6643000","6963000","6393000","9048000","9665000","8904000","8673000","5279000","5419000","5781000","5651000","5856000","6027000","6775000","",
"Germany","DEU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55800000","69200000","78100000","80507000","81551000","80393000","85345000","84859000","86622000","81801000","82099000","86201000","85547000","85872000","84692000","82729000","87459000","83008000","83737000","90966000","92402000","",
"Djibouti","DJI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5035000","4693000","4788000","4744000","5011000","4946000","4935000","5564000","4630000","5469000","6129000","6564000","6347000","7037000","7726000","7846000","7843000","6977000","8528000","8991000","9651000","8102000","",
"Dominican Republic","DOM","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168000","358000","355000","354000","363000","360000","331000","332000","321000","368000","419000","420000","443000","413000","415000","401000","408000","418000","392000","427000","478000","500000","522000","",
"Algeria","DZA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090000","874000","827000","879000","903000","1006000","1190000","1257000","1254000","1417000","1513000","1349000","1499000","1539000","1677000","1757000","1715000","1911000","2136000","2839000","3638000","4530000","5058000","",
"East Asia & Pacific (excluding high income)","EAP","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18978130.0498644","21473112.5561587","23276586.927428","24734301.9083678","25681405.6923679","29541602.2054544","34485769.5152491","34050503.9380897","37797784.8982606","43145282.9690903","46844284.3819135","53147266.8997151","62031075.4055687","67956993.6978072","69671460.5299986","84147575.3259072","100207058.558006","117051489.969785","136747926.225176","159719634.832864","175040113.054249","186149646.285087","197465213.086668","",
"Early-demographic dividend","EAR","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51587102.6607436","55958479.6732577","58531217.4751513","62705167.3333386","66809473.7362976","72870684.8992124","75095740.7678823","75175697.0063015","72826898.4012478","83885949.7535976","91459957.4449982","92503236.5264981","98580631.9837384","100690995.930682","103817365.635703","128725730.386272","130925156.940957","141488700.672792","153076290.956255","163783375.672992","177456757.128347","191888654.982884","201929315.619423","",
"East Asia & Pacific","EAS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111029513.515529","120207382.734714","135134367.291719","143222409.066174","147230259.356934","144940043.624985","168940181.025262","179444037.892673","192471295.525319","209702886.266301","214634066.601668","213311310.795492","244826606.308854","263374393.64643","285484499.92911","306724570.77749","332053762.904243","357635727.46412","378915815.332456","397924818.383815","",
"Europe & Central Asia (excluding high income)","ECA","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51164023.5716749","39264166.8583048","43987462.1452824","42397254.5135945","43451544.291834","59731263.6416197","62155533.6675591","65380584.9427626","67923868.0820662","77927840.0055348","85535961.9838306","91102652.8885267","98204499.9605698","106070476.522233","102863398.838041","110375856.926207","124173276.226263","133631262.652474","149171771.340896","140370946.201186","129938023.835771","132977785.410944","154362613.82534","",
"Europe & Central Asia","ECS","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331730141.559469","350518786.935096","375279388.540475","391196122.580301","426583196.372925","427450742.714167","431068914.459093","435958427.779145","455682391.258965","486692164.436696","492074055.35391","520967129.497627","537320618.189709","506737162.90829","517427262.120143","537493216.786746","549028658.716737","574505811.520903","552894140.859448","566873617.4612","594422091.447345","635516745.521871","",
"Ecuador","ECU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271000","275000","321000","330000","386000","520000","562000","627000","613000","603000","664000","733000","801000","815000","814000","899000","1022000","1022000","1138000","1278000","1398000","1551000","1547000","",
"Egypt, Arab Rep.","EGY","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2683000","2812000","2722000","2854000","2886000","2964000","3074000","3330000","3644000","5210000","5307000","4531000","","","4716000","4618000","4863000","5678000","5782000","6180000","","","","",
"Euro area","EMU","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143099914.116068","161547983.86923","168981119.535052","181734907.735255","182693550.901225","186155030.008622","193891539.450752","198237034.368309","210591706.067603","208084399.815513","221483310.808629","226001706.079576","225147848.665552","227063091.111759","231191961.485011","225750814.481501","230268683.297888","231738042.404194","235717214.620852","251642112.197578","262760348.112161","",
"Eritrea","ERI","International tourism, number of departures","ST.INT.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
